[ 2025-11-17 04:51:04,013 ] 17 root - INFO - Initiate the data ingestion
[ 2025-11-17 04:51:32,688 ] 64 root - INFO - Performed train test split on the dataframe
[ 2025-11-17 04:51:32,690 ] 69 root - INFO - Exporting train and test file path
[ 2025-11-17 04:51:32,704 ] 79 root - INFO - Exported train and test file path
[ 2025-11-17 04:51:32,704 ] 19 root - INFO - Data Initiation Completed
[ 2025-11-17 04:51:32,753 ] 24 root - INFO - Initiate the data Validation
[ 2025-11-17 04:51:32,822 ] 33 root - INFO - Required number of columns:228
[ 2025-11-17 04:51:32,822 ] 34 root - INFO - Data frame has columns:228
[ 2025-11-17 04:51:32,823 ] 33 root - INFO - Required number of columns:228
[ 2025-11-17 04:51:32,823 ] 34 root - INFO - Data frame has columns:228
[ 2025-11-17 04:51:32,991 ] 26 root - INFO - data Validation Completed
[ 2025-11-17 04:51:32,992 ] 31 root - INFO - data Transformation started
[ 2025-11-17 04:51:33,030 ] 132 root - INFO - Data Transformation initiated.
[ 2025-11-17 04:51:33,063 ] 137 root - INFO - Reading train and test data completed.
[ 2025-11-17 04:51:33,063 ] 89 root - INFO - Starting feature engineering...
[ 2025-11-17 04:51:33,078 ] 105 root - INFO - Feature engineering complete.
[ 2025-11-17 04:51:33,079 ] 89 root - INFO - Starting feature engineering...
[ 2025-11-17 04:51:33,092 ] 105 root - INFO - Feature engineering complete.
[ 2025-11-17 04:51:33,096 ] 153 root - INFO - Dropped 109 columns.
[ 2025-11-17 04:51:33,098 ] 171 root - INFO - Applying preprocessing object on training and testing dataframes.
[ 2025-11-17 04:51:33,171 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-17 04:51:33,173 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-17 04:51:33,173 ] 190 root - INFO - Saved preprocessing object.
[ 2025-11-17 04:51:33,173 ] 198 root - INFO - Data Transformation completed.
[ 2025-11-17 04:51:33,174 ] 35 root - INFO - data Transformation completed
[ 2025-11-17 04:51:33,174 ] 37 root - INFO - Model Training stared
