[ 2025-11-16 22:28:24,106 ] 17 root - INFO - Initiate the data ingestion
[ 2025-11-16 23:41:58,054 ] 64 root - INFO - Performed train test split on the dataframe
[ 2025-11-16 23:41:58,056 ] 69 root - INFO - Exporting train and test file path
[ 2025-11-16 23:42:12,119 ] 79 root - INFO - Exported train and test file path
[ 2025-11-16 23:42:13,127 ] 19 root - INFO - Data Initiation Completed
[ 2025-11-16 23:42:13,186 ] 24 root - INFO - Initiate the data Validation
[ 2025-11-16 23:42:19,152 ] 33 root - INFO - Required number of columns:228
[ 2025-11-16 23:42:19,153 ] 34 root - INFO - Data frame has columns:228
[ 2025-11-16 23:42:19,162 ] 33 root - INFO - Required number of columns:228
[ 2025-11-16 23:42:19,162 ] 34 root - INFO - Data frame has columns:228
[ 2025-11-16 23:42:37,430 ] 26 root - INFO - data Validation Completed
[ 2025-11-16 23:42:37,431 ] 31 root - INFO - data Transformation started
[ 2025-11-16 23:42:37,470 ] 128 root - INFO - Data Transformation initiated.
[ 2025-11-16 23:42:42,181 ] 132 root - INFO - Reading train and test data completed.
[ 2025-11-16 23:42:42,190 ] 85 root - INFO - Starting feature engineering...
[ 2025-11-16 23:42:42,428 ] 101 root - INFO - Feature engineering complete.
[ 2025-11-16 23:42:42,428 ] 85 root - INFO - Starting feature engineering...
[ 2025-11-16 23:42:42,487 ] 101 root - INFO - Feature engineering complete.
